Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Future Equivalent Open Interest, Limit for Next Day
19-JUN-2026,INE009A01021,INFOSYS LIMITED,INFY,475237614,244369200,121198528.295792,330277205
19-JUN-2026,INE066P01011,INOX WIND LIMITED,INOXWIND,144708707,200144800,106695855.717469,30777415
19-JUN-2026,INE242A01010,INDIAN OIL CORP LTD,IOC,684903861,243208875,130988282.5408425,519670385
19-JUN-2026,INE202E01016,INDIAN RENEWABLE ENERGY,IREDA,119011160,146370000,62173833.432721,50886768
19-JUN-2026,INE053F01010,INDIAN RAILWAY FIN CORP L,IRFC,267310350,165066875,70252105.79573025,183692726
19-JUN-2026,INE154A01025,ITC LTD,ITC,1317896781,363833675,193588882.62044875,1058413059
19-JUN-2026,INE749A01030,JINDAL STEEL LIMITED,JINDALSTEL,45844541,20872500,13409045.58566875,30143268
19-JUN-2026,INE758E01017,JIO FIN SERVICES LTD,JIOFIN,490240515,276012200,179872831.626952,285855657
19-JUN-2026,INE121E01018,JSW ENERGY LIMITED,JSWENERGY,75294901,43030350,26276885.536346,45253270
19-JUN-2026,INE019A01038,JSW STEEL LIMITED,JSWSTEEL,133242960,51073875,43023868.46310475,83556943
19-JUN-2026,INE797F01020,JUBILANT FOODWORKS LTD,JUBLFOOD,58777851,55562500,30204859.4494625,25634099
19-JUN-2026,INE303R01014,KALYAN JEWELLERS IND LTD,KALYANKJIL,57686748,66711550,42803919.8096765,11998490
19-JUN-2026,INE878B01027,KEI INDUSTRIES LTD.,KEI,9320940,2968875,1590192.82476975,7264700
19-JUN-2026,INE138Y01010,KFIN TECHNOLOGIES LIMITED,KFINTECH,19953342,11808225,5621845.12552775,13333829
19-JUN-2026,INE237A01036,KOTAK MAHINDRA BANK LTD,KOTAKBANK,882793124,250652000,191633177.90902,647020289
19-JUN-2026,INE04I401011,KPIT TECHNOLOGIES LIMITED,KPITTECH,24611073,19494900,8746248.13811675,14634271
